id,slug,link,primary_image_url,primary_image_caption
9345,2024/11/24/the-welkin-review-a-period-drama-with-profound-themes,https://cheesegratermagazine.org/2024/11/24/the-welkin-review/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/DSCF4800-1100x733.jpg,A modern period drama with profound themes (Credit: The Welkin/UCL Drama Society)
9257,2024/11/24/union-president-didn-t-feel-comfortable-at-cop29,https://cheesegratermagazine.org/2024/11/24/union-president-didnt-feel-comfortable-at-cop29/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/54143383601_8ef1647f08_k-1100x733.jpg,Protests at COP29 (Credit: UN Climate Change/Habib Samadov via Flickr/CC BY-NC-SA 2.0)
9294,2024/11/24/ucl-adopts-harm-reduction-drug-policy-in-real-win-for-student-wellbeing,https://cheesegratermagazine.org/2024/11/24/ucl-adopts-harm-reduction-drug-policy-in-real-win-for-student-wellbeing/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/S_UK-UCL-381-1100x734.jpg,Stoner circle (Credit: Mat Wright via UCL Imagestore)
9310,2024/11/24/the-thing-going-around-at-the-moment-knocks-out-entire-ucl-student-population,https://cheesegratermagazine.org/2024/11/24/the-thing-going-around-at-the-moment-knocks-out-entire-ucl-student-population/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/coronavirus-4958989_1280-1100x733.jpg,"Visualisation of ""the thing"" (Credit: Pixabay)"
9246,2024/11/23/ucl-professor-launches-israel-palestine-discussion-project,https://cheesegratermagazine.org/2024/11/23/ucl-professor-launches-breakthrough-israel-palestine-discussion-project/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-23-at-3.28.20-PM.jpeg,Around 50 students attended its first meeting on Monday (Credit: Israel-Palestine Initiative)
9093,2024/11/21/revealed-scammers-targeting-students-with-sabrina-carpenter-tickets,https://cheesegratermagazine.org/2024/11/21/new-concert-scam-targeting-ucl-students-on-whatsapp/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/scjb-768x801.webp,“I’m working late ‘cus I’m a scammer” (Graphic by Kotryna Taujanskaite)
9078,2024/11/19/our-fight-for-freedom-knows-no-distance,https://cheesegratermagazine.org/2024/11/19/3000-miles-away-from-tbilisi-georgian-students-fight-for-another-future/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/unnamed-1100x734.webp,"Protesters left this stained transparent white suit outside of the Georgian Embassy in Central London to symbolise the lack of vote secrecy in the legislative elections, as ballots could be seen through the thin envelopes. (Credit: Tati Surguladzeh)"
9038,2024/11/19/engineering-lab-fire-related-to-student-experiment-ucl-says,https://cheesegratermagazine.org/2024/11/19/cause-of-ucl-lab-fire-under-investigation/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/20241119_131335-1100x825.jpg,Firefighters and paramedics attended the scene (Credit: Nick Miao)
8956,2024/11/17/ucl-to-review-investments-in-major-win-for-pro-palestine-activists,https://cheesegratermagazine.org/2024/11/17/ucl-to-review-investments-in-major-win-for-pro-palestine-activists/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-03-at-5.16.10-PM-8-1100x734.jpeg,Students protesting at a pro-Palestine rally (Credit: Nyla Rizvi)
8918,2024/11/13/an-obituary-of-middle-eastern-studies,https://cheesegratermagazine.org/2024/11/13/obituary-of-middle-eastern-studies/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/15745980116_88cc2bcab5_k-1100x733.jpg,(Credit: Can Pac Swire via Flickr/CC BY-NC 2.0)
